OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,ProviderType,Id,X,Y,UpdateDTS
632,78C004,"Bio-Medical Applications of North Carolina, Inc.  d/b/a Fresenius Kidney Care",Red Springs Dialysis,1000 East 4th Avenue,Red Springs,Robeson,North Carolina,28377,Approved,Other,,-79.1643989086275,34.8025856845325,202105041931
862,78C011,MAST DRUG CO. INC.,DRUGS AMERICA,103 E 24TH  ST,LUMBERTON,Robeson,North Carolina,28358,Approved,Pharmacy : independent,,-79.0078300177096,34.6343531449766,202105041931
917,78C007,DaVita,Maxton Dialysis,202 E. Dr. Martin Luther King Jr Drive,Maxton,Robeson,North Carolina,28364,Approved,Other,,-79.3483348663662,34.7353720560946,202105041931
950,78C015,Healthworks Group of North Carolina,Premise Health - Mountaire Farms of Lumber Bridge,136 Chicken Plant Rd,Lumber Bridge,Robeson,North Carolina,28357,Approved,Medical practice : family medicine,,-79.1047212361558,34.8696440723342,202105041931
982,78C016,Healthworks Group of North Carolina,Premise Health - Truist Lumberton Health Center,4251 Fayetteville Rd,Lumberton,Robeson,North Carolina,28358,Approved,Health center : occupational,,-78.9983666310021,34.6492762550353,202105041931
1127,780009,Scotland Physician Network,Pembroke Family Practice,410 S Jones St,Pembroke,Robeson,North Carolina,28372,Approved,Medical practice : family medicine,,-79.1934526330327,34.677921201943,202105041931
1154,78C008,J&S Drug Company,Lumberton Drug Company,4307 Fayetteville Rd,Lumberton,Robeson,North Carolina,28358,Approved,Pharmacy : independent,,-78.9997471109014,34.650497700444,202105041931
1338,78C020,"Carolina Acute Care & Wellness Center, PA","Carolina Acute Care & Wellness Center, P.A.","2601 N. Elm Street, Ste A",Lumberton,Robeson,North Carolina,28358,Approved,Medical practice : family medicine,,-79.0084957907094,34.635739434638,202105041931
1359,78C010,University of North Carolina at Pembroke,Lumbee Tribe Boys and Girls Club,120 Youth Drive,Pembroke,Robeson,North Carolina,28372,Approved,Health center : student,,-79.1658739721158,34.6654366045912,202105041931
1361,78C012,Fairmont Drug Company LLC,Fairmont Drug Company,405 N Walnut Street,Fairmont,Robeson,North Carolina,28340,Approved,Pharmacy : independent,,-79.1122821248565,34.5024762551625,202105041931
1575,78C017,University of North Carolina at Pembroke,UNC Pembroke Auxiliary Health Unit,1 University Drive,Pembroke,Robeson,North Carolina,28372,Approved,Health center : student,,-79.2052376569525,34.6857069149066,202105041931
1590,78C019,Clinic Pharmacy - Hope Mills Pharmacy LLC,Brisson Drugs,217 W Broad St,St Pauls,Robeson,North Carolina,28384,Approved,Pharmacy : independent,,-78.9727599079988,34.8067075217794,202105041931
1594,78C014,Red Springs Dialysis,Red Springs Dialysis,1000 E 4th Ave,Red Springs,Robeson,North Carolina,28377,Approved,Medical practice : other specialty,,-79.1643989086275,34.8025856845325,202105041931
1733,78C022,Genesis Administrative Services LLC,Pembroke Center,310 E Wardell Drive,Pembroke,Robeson,North Carolina,28372,Submitted (Ready for Internal Review),"Long-term care : nursing home, skilled nursing facility, federally certified",,-79.1868647071002,34.6796720180867,202105041931
2085,78C018,"Locklear Family Practice, PLLC","Locklear Family Practice, PLLC",812 Candy Park Rd,Pembroke,Robeson,North Carolina,28372,Approved,Medical practice : family medicine,,-79.1770387810173,34.6650494483885,202105041931
2231,"","Locklear Family Practice, PLLC","LOCKLEAR FAMILY PRACTICE, PLLC",812 Candy Park Rd.,Pembroke,Robeson,North Carolina,28372,Deactivated,Medical practice : family medicine,,-79.1770387810173,34.6650494483885,202105041931
2719,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,2985 EAST ELIZABETHTOWN ROAD,LUMBERTON,Robeson,North Carolina,28358,,Pharmacy : chain,a2At0000001eQKgEAM,-78.9843476481528,34.6351386880635,202105041931
2720,,CVS Health,7641,3001 FAYETTEVILLE RD,LUMBERTON,Robeson,North Carolina,28358,,Pharmacy : chain,a2At0000002Z03NEAS,-79.0009330908129,34.6397120690179,202105041931
2723,,WM1,WAL-MART PHARMACY,5070 FAYETTEVILLE RD,LUMBERTON,Robeson,North Carolina,28358,,Pharmacy : chain,a2At0000001e2deEAA,-79.0059933783517,34.6640512521292,202105041931
2729,,Walgreens,Walgreens,503 E 3RD ST,PEMBROKE,Robeson,North Carolina,28372,,Pharmacy : chain,a2At0000002WNlHEAW,-79.1889328203846,34.6765394244062,202105041931
2754,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,120 S ODOM STREET,ST PAULS,Robeson,North Carolina,28384,,Pharmacy : chain,a2At0000001e39fEAA,-78.9867466318518,34.8072033882728,202105041931
157,79C001,The Moses H. Cone Memorial Hospital Operating Corp,Annie Penn Hospital,618 S Main St,Reidsville,Rockingham,North Carolina,27320,Approved,Hospital,,-79.7863854847803,36.091130350885,202105041931
255,790017,UNC Rockingham Health Care,UNC Rockingham Hospital,117 E. Kings Hwy,Eden,Rockingham,North Carolina,27288,Approved,Hospital,,-79.7396055714024,36.494681929576,202105041931
292,790001,Rockingham County Department of Health and Human Services,Rockingham County Division of Public Health,371 NC 65 Suite 204,Wentworth,Rockingham,North Carolina,27375,Approved,Public health provider : public health clinic,,-79.7508661265359,36.3917049871775,202105041931
503,79C004,Compassion Health Care,James Austin Health Center,"207 East Meadow Road, Suite 6",Eden,Rockingham,North Carolina,27288,Approved,Public health provider : Federally Qualified Health Center,,-79.738734331381,36.5083547977601,202105041931
507,79C003,Fresenius Kidney Care of Garber Olin,BMA of Rockingham County,2206 Barnes Street,Reidsville,Rockingham,North Carolina,27320,Approved,Other,,-79.6405373205675,36.3241381272521,202105041931
612,790004,Dayspring Family Medicine,Dayspring Family Medicine,250 W. Kings Hwy,Eden,Rockingham,North Carolina,27288,Approved,Medical practice : family medicine,,-79.7463319554435,36.4913795404934,202105041931
883,79C008,Eden Drug Inc,Eden Drug Inc,103 W Stadium Dr,Eden,Rockingham,North Carolina,27288,Approved,Pharmacy : independent,,-79.7440546146466,36.5013655903121,202105041931
941,790015,Belmont Medical Associates,Belmont Medical Associates,1818 Richardson Drive,Reidsville,Rockingham,North Carolina,27320,Approved,Medical practice : family medicine,,-79.6837954086217,36.340282801278,202105041931
1181,79C005,Carolina Apothecary Inc,Carolina Apothecary Inc,726 S Scales Street,Reidsville,Rockingham,North Carolina,27320,Approved,Pharmacy : independent,,-79.6652931115475,36.3513349540129,202105041931
1228,79C006,Madison Pharmacy & Homecare,Madison Pharmacy & Homecare,125 W Murphy St,Madison,Rockingham,North Carolina,27025,Approved,Pharmacy : independent,,-79.9609196327209,36.3870879036654,202105041931
1294,79C010,"Mitchell's Discount Drugs, Inc.",Mitchell's Discount Drug,544 Morgan Rd,Eden,Rockingham,North Carolina,27288,Approved,Pharmacy : independent,,-79.7603301410921,36.5158591304962,202105041931
1329,79C007,"UNC Physicians Network, LLC",UNC Cardiology at Eden,"518 S. Van Buren Rd, Ste 3",Eden,Rockingham,North Carolina,27288,Approved,Medical practice : other specialty,,-79.7395979842914,36.4957063924829,202105041931
1533,79C011,"Free Clinic of Rockingham County, Inc","Free Clinic of Rockingham County, Inc",315 S. Main St.,Reidsville,Rockingham,North Carolina,27320,Approved,Other,,-79.6656361069282,36.3577485570775,202105041931
1672,79C013,Belmont Pharmacy Inc,Belmont Pharmacy,105 Professional Drive,Reidsville,Rockingham,North Carolina,27320,Approved,Pharmacy : independent,,-79.6947630848602,36.336077327597,202105041931
1758,79C012,"P 3:56 ENTERPRISES, INC",CROSSROADS PHARMACY #2,104 HIGHWAY ST,MADISON,Rockingham,North Carolina,27025,Rejected,Pharmacy : independent,,-79.9673582176172,36.3887036968882,202105041931
2093,"",Cynthia A Bolton DDS PA,Cynthia Bolton DDS PA,1123 S Main ST,Reidsville,Rockingham,North Carolina,27320,New (Vaccine Coordinator In Progress),Other,,-79.6678232318715,36.3474612035726,202105041931
2116,79C009,COH Mohawk Healthy Life Centers,COH Heallthy Life Center Eden,712 Henry Street,Eden,Rockingham,North Carolina,27288,Rejected,Medical practice : family medicine,,-79.7634850976293,36.4895548519684,202105041931
2185,"",Western Rockingham Family Medicine,Western Rockingham Family Medicine,401 W Decatur St,Madison,Rockingham,North Carolina,27025,New (Vaccine Coordinator In Progress),"",,-79.9663126293741,36.3878339125356,202105041931
2288,,WM1,WAL-MART PHARMACY,6711 NC HIGHWAY 135,MAYODAN,Rockingham,North Carolina,27027,,Pharmacy : chain,a2At0000001e3NtEAI,-79.9357378906314,36.4198337487424,202105041931
2298,,CVS Health,2532,1149 UNIVERSITY DR,BURLINGTON,Rockingham,North Carolina,27215,,Pharmacy : chain,a2At0000003SKu6EAG,-79.5274264955245,36.0789691084367,202105041931
2306,,Walgreens,Walgreens,2019 N MAIN ST,HIGH POINT,Rockingham,North Carolina,27262,,Pharmacy : chain,a2At0000002WAFYEA4,-80.0229129387527,35.9824667113577,202105041931
2326,,WM1,WAL-MART PHARMACY,304 E ARBOR LANE,EDEN,Rockingham,North Carolina,27288,,Pharmacy : chain,a2At0000001e3d9EAA,-79.7340997805111,36.4895795895704,202105041931
2335,,Walgreens,Walgreens,1703 FREEWAY DR,REIDSVILLE,Rockingham,North Carolina,27320,,Pharmacy : chain,a2At0000002WNwREAW,-79.6936111145639,36.3525048322682,202105041931
2337,,Walgreens,Walgreens,109 S VAN BUREN RD,EDEN,Rockingham,North Carolina,27288,,Pharmacy : chain,a2At0000002WO7ZEAW,-79.7436241142579,36.5004827842214,202105041931
2344,,Walgreens,Walgreens,4568 US HIGHWAY 220 N,SUMMERFIELD,Rockingham,North Carolina,27358,,Pharmacy : chain,a2At0000002WO3GEAW,-79.8914354707352,36.1938168648329,202105041931
2347,,Walgreens,Walgreens,603 S SCALES ST,REIDSVILLE,Rockingham,North Carolina,27320,,Pharmacy : chain,a2At0000002W9JgEAK,-79.6645750247869,36.3545687803604,202105041931
2349,,CVS Health,5532,4601 US HIGHWAY 220 N,SUMMERFIELD,Rockingham,North Carolina,27358,,Pharmacy : chain,a2At0000002YDx4EAG,-79.8934559384164,36.194518853835,202105041931
2358,,WM1,WAL-MART PHARMACY,2107 PYRAMID VILLAGE BLVD,GREENSBORO (NE),Rockingham,North Carolina,27405,,Pharmacy : chain,a2At0000001e3YPEAY,-79.7569081219713,36.1091898900709,202105041931
2918,,WM1,WAL-MART PHARMACY,1624 NC #14 HIGHWAY,REIDSVILLE,Rockingham,North Carolina,27320,,Pharmacy : chain,a2At0000001e3UqEAI,-79.6670743279271,36.3835855813345,202105041931
2922,,CVS Health,2306,618 A S MAIN STREET,Reidsville,Rockingham,North Carolina,27320,,Pharmacy : chain,a2At0000002VhgTEAS,-79.6682131319335,36.3529693165065,202105041931
2933,,Walgreens,FREE CLINIC OF ROCKINGHAM COUNTY,315 S MAIN ST,REIDSVILLE,Rockingham,North Carolina,27320,,Pharmacy : chain,a2At0000001epbqEAA,-79.6656361069282,36.3577485570775,202105041931
108,80C009,"ProMed Healthcare, PLLC",ProMed - Salisbury,812 W. Innes,Salisbury,Rowan,North Carolina,28144,Approved,Urgent care,,-80.4776166847158,35.6739547148338,202105041931
247,800035,"Cabarrus Rowan Community Health Centers, Inc.",Northern Rowan Family Medicine,300 N Salisbury Ave,Spencer,Rowan,North Carolina,28159,Approved,Public health provider : Federally Qualified Health Center,,-80.4264185457074,35.6928754081504,202105041931
293,800001,Rowan County Health Department,Rowan County Health Department,1811 E Innes St,Salisbury,Rowan,North Carolina,28146,Approved,Public health provider : public health clinic,,-80.45718185,35.6482419385723,202105041931
310,80C002,"Cabarrus Rowan Community Health Centers, Inc.",Salisbury Health Center,2129 Statesville Blvd,Salisbury,Rowan,North Carolina,28147,Approved,Public health provider : Federally Qualified Health Center,,-80.5186602324065,35.6933526336658,202105041931
452,800009,Novant Health,Novant Health Rowan Medical Center,612 Mocksville Avenue,Salisbury,Rowan,North Carolina,28144,Approved,Hospital,,-80.4712207918731,35.6812285321282,202105041931
504,800033,"Rowan Diagnostic Clinic, PA","Rowan Diagnostic Clinic, PA",611 Mocksville Avenue,Salisbury,Rowan,North Carolina,28144,Approved,Medical practice : other specialty,,-80.4723960028612,35.6817816193767,202105041931
646,80C003,"CareHere Management, PLLC",Cleveland Primary Health & Wellness Center,210 Bear Poplar Road,Cleveland,Rowan,North Carolina,27013,Approved,Medical practice : family medicine,,-80.688637610597,35.7272672029401,202105041931
648,80C004,"CareHere Management, PLLC",Cleveland Truck Manufacturing c/o CareHere OCC Medical,11550 Statesville Blvd,Cleveland,Rowan,North Carolina,27013,Approved,Health center : occupational,,-80.6903432093981,35.7305797746654,202105041931
1035,80C006,Moose Pharmacy of Concord,Moose Pharmacy of Kannapolis,1113 N Main St,Kannapolis,Rowan,North Carolina,28081,Approved,Pharmacy : independent,,-80.6159705373436,35.5097858354454,202105041931
1040,80C005,Moose Pharmacy of Concord,Moose Pharmacy of Salisbury,1408 W Innes St,Salisbury,Rowan,North Carolina,28144,Approved,Pharmacy : independent,,-80.4806021815924,35.6813996365081,202105041931
1077,80C008,Price Pharmacy,Price Pharmacy,422 HWY 29 N,CHINA GROVE,Rowan,North Carolina,28023,Approved,Pharmacy : independent,,-80.5750700505858,35.5663734759106,202105041931
1212,80C007,"Rowan Drug, Inc dba The Medicine Shoppe",The Medicine Shoppe,1357 W Innes St,Salisbury,Rowan,North Carolina,28144,Approved,Pharmacy : independent,,-80.4815040332154,35.6801640841722,202105041931
1638,80C010,"LSA PHARMACY, INC","LSA Pharmacy, Inc",728 Klumac Road,Salisbury,Rowan,North Carolina,28144,Approved,Pharmacy : independent,,-80.4836056493912,35.6469754933724,202105041931
1767,80C013,"Food Lion, LLC",Food Lion Pharmacy #10,525 Jake Alexander Blvd,Salisbury,Rowan,North Carolina,29147,Submitted (Ready for Internal Review),Pharmacy : chain,,-80.5004087643378,35.6604249504985,202105041931
2131,"","Lutheran Services for the Aging, Inc.",LSA Pharmacy,728 Klumac Road,Salisbury,Rowan,North Carolina,28144,Deactivated,Pharmacy : independent,,-80.4836056493912,35.6469754933724,202105041931
2151,"","HEALTHSTAT, INC",Hitachi Metals-China Grove,1 Hitachi Metals Drive,China Grove,Rowan,North Carolina,28023,Deactivated,Other,,-80.5511913992288,35.5730827376322,202105041931
2215,80C012,"Food Lion, LLC",Food Lion Pharmacy #2650,1460 S. Main Street,China Grove,Rowan,North Carolina,28023,Approved,Pharmacy : chain,,-80.5958711805289,35.5588144692183,202105041931
2238,80C011,"PruittHealth, Inc.",North Carolina State Veterans Home - Salisbury,1601 Brenner Ave. Building #10,Salisbury,Rowan,North Carolina,28144,Approved,"Long-term care : nursing home, skilled nursing facility, federally certified",,-80.4938062154975,35.6817290680428,202105041931
2264,,Walgreens,Walgreens,6798 SHALLOWFORD RD,LEWISVILLE,Rowan,North Carolina,27023,,Pharmacy : chain,a2At0000002WGGIEA4,-80.4283824097132,36.0949527678222,202105041931
2327,,WM1,WAL-MART PHARMACY,160 LOWES BLVD,LEXINGTON,Rowan,North Carolina,27292,,Pharmacy : chain,a2At0000001e2c7EAA,-80.2574560650196,35.7911998538041,202105041931
2616,,Walgreens,Walgreens,1906 W INNES ST,SALISBURY,Rowan,North Carolina,28144,,Pharmacy : chain,a2At0000002W8ZVEA0,-80.4825957745844,35.686621987965,202105041931
2619,,WM1,WAL-MART PHARMACY,323 SO. ARLINGTON ST.,SALISBURY,Rowan,North Carolina,28144,,Pharmacy : chain,a2At0000001e2njEAA,-80.4665713119581,35.6551219527068,202105041931
2620,,Walgreens,Walgreens,1505 E INNES ST,SALISBURY,Rowan,North Carolina,28146,,Pharmacy : chain,a2At0000002WNdcEAG,-80.456971735455,35.6540995175326,202105041931
2831,,Walgreens,Walgreens,749 E MAIN ST,JEFFERSON,Rowan,North Carolina,28640,,Pharmacy : chain,a2At0000002WPYxEAO,-81.4588891772649,36.4207460938978,202105041931
2969,,CVS Health,7559,2809 Old Concord Road,Salisbury,Rowan,North Carolina,28146,,Pharmacy : chain,a2At0000002VeklEAC,-80.4847169217385,35.6226434842683,202105041931
2971,,CVS Health,5591,610 WEST FISHER STREET,SALISBURY,Rowan,North Carolina,28144,,Pharmacy : chain,a2At0000002VeQmEAK,-80.4763047632315,35.6716253087639,202105041931
2982,,Walgreens,Walgreens,508 N US 29 HWY,CHINA GROVE,Rowan,North Carolina,28023,,Pharmacy : chain,a2At0000002WNqSEAW,-80.5737869239454,35.5674106902942,202105041931
113,60C080,The Charlotte-Mecklenburg Hospital Authority,Rutherford Internal Medicine,181 Daniel Road,Forest City,Rutherford,North Carolina,28043,Approved,Medical practice : internal medicine,,-81.9010339443675,35.3407379061651,202105041931
233,810018,"Blue Ridge Community Health Services, Inc",Blue Ridge Health - Lake Lure,146 Nesbitt Ridge Road,Lake Lure,Rutherford,North Carolina,28746,Approved,Public health provider : Federally Qualified Health Center,,-82.1970217802967,35.4137883101089,202105041931
250,810017,"Blue Ridge Community Health Services, Inc",Blue Ridge Health-Rutherford,187 West main Street,Spindale,Rutherford,North Carolina,28160,Approved,Public health provider : Federally Qualified Health Center,,-81.9331801596084,35.3580971891922,202105041931
294,810001,Foothills Health District,Rutherford County Health Dept,221Callahan Koon Rd,Spindale,Rutherford,North Carolina,28160,Approved,Public health provider : public health clinic,,-81.9101671260136,35.3487424474865,202105041931
295,810003,"Rutherford Regional health System, Duke LifePoit","Rutherford Regional Health System, Duke LifePoint",288 S. Ridgecrest Ave,Rutherfordton,Rutherford,North Carolina,28139,Approved,Hospital,,-81.965644624531,35.3624201407156,202105041931
1004,81C001,Hardin's Drug 2,Hardin's Drug 2,1281 US HWY 221A,FOREST CITY,Rutherford,North Carolina,28043,Approved,Pharmacy : independent,,-81.8256721565949,35.2908246223461,202105041931
1005,81C002,Hardin's Drug 2,Hardin's  Drug 1,720 S Church St,FOREST CITY,Rutherford,North Carolina,28043,Approved,Pharmacy : independent,,-81.8795775672021,35.3212677915619,202105041931
1122,81C004,"Spindale LTC Pharmacy, Inc.",Spindale LTC Pharmacy,117 W Main St,Spindale,Rutherford,North Carolina,28160,Approved,Long-term care : assisted living,,-81.9311614733855,35.3572261684382,202105041931
1303,81C003,Smith's Drugs of Forest City,Smith's Drugs of Forest City,139 E Main St,Forest City,Rutherford,North Carolina,28043,Approved,Pharmacy : independent,,-81.863927418777,35.333865170125,202105041931
1525,NS2127,"Ingles Markets, Inc",Ingles Pharmacy #127,276 NC HWY 9,Lake Lure,Rutherford,North Carolina,28746,Approved,Pharmacy : chain,,-82.1983730228743,35.4108032703658,202105041931
1665,810008,"Raleigh Durham Medical Group, PA",Spindale Family Practice,144 Reservation Dr,Spindale,Rutherford,North Carolina,28160,Approved,Medical practice : family medicine,,-81.9353124367612,35.3488798259098,202105041931
1674,81C005,Spindale Drug Company Inc,Spindale Drug Company,109 West Main St,Spindale,Rutherford,North Carolina,28160,Approved,Pharmacy : independent,,-81.9309805904618,35.3571363156686,202105041931
1684,81C006,MEDICINE BOX PHARMACY OF RUTHERFORDTON,MEDICINE BOX OF RUTHERFORDTON,200 CHARLOTTE RD,RUTHERFORDTON,Rutherford,North Carolina,28139,Approved,Pharmacy : independent,,-81.9542621436569,35.3645476450115,202105041931
1694,81C007,"Ingles Markets, Inc",Ingles Pharmacy #27,756 S Church St Suite 132,Forest City,Rutherford,North Carolina,28043,Approved,Pharmacy : chain,,-81.8817723790062,35.3220778537249,202105041931
1915,81C009,The Charlotte-Mecklenburg Hospital Authority,Atrium Health Urgent Care Rutherford,181 Daniel Road,Forest City,Rutherford,North Carolina,28043,Approved,Urgent care,,-81.9010339443675,35.3407379061651,202105041931
1990,"",Rutherford Regional Health System,Rutherford Regional Health System,288 S. Ridgecrest Ave,Rutherfordton,Rutherford,North Carolina,28139,Deactivated,Hospital,,-81.965644624531,35.3624201407156,202105041931
2192,81C008,"Ingles Markets, Inc",Ingles Pharmacy #127,276 NC HWY 9,Lake Lure,Rutherford,North Carolina,28746,Approved,Pharmacy : chain,,-82.1983730228743,35.4108032703658,202105041931
2568,,WM1,WAL-MART PHARMACY,197 PLAZA DRIVE,FOREST CITY,Rutherford,North Carolina,28043,,Pharmacy : chain,a2At0000001e3G2EAI,-81.8990693647548,35.33519909689,202105041931
2614,,Walgreens,Walgreens,121 RAILROAD AVE,RUTHERFORDTON,Rutherford,North Carolina,28139,,Pharmacy : chain,a2At0000002W7IyEAK,-81.9418234147901,35.3639175469876,202105041931
2624,,CVS Health,7057,105 E COLLEGE AVE,SHELBY,Rutherford,North Carolina,28152,,Pharmacy : chain,a2At0000002Vs2oEAC,-81.6663924441869,35.2508060863681,202105041931
2841,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,1001 N GREEN STREET,MORGANTON,Rutherford,North Carolina,28655,,Pharmacy : chain,a2At0000001e35JEAQ,-81.7174097349025,35.7539766305907,202105041931
57,820013,"Goshen Medical Center, INC",Goshen Medical Center-Garland,105 S. Lisbon Avenue,Garland,Sampson,North Carolina,28441,Approved,Public health provider : Federally Qualified Health Center,,-78.3943371895035,34.7832762687495,202105041931
125,820009,"Goshen Medical Center, INC",Goshen Medical Center-Fairview,408 Fairview St,Clinton,Sampson,North Carolina,28328,Approved,Public health provider : Federally Qualified Health Center,,-78.3284420183922,35.013511301406,202105041931
395,820001,Sampson County Health Department,Sampson County Health Department,360 County Complex Rd,Clinton,Sampson,North Carolina,28328,Approved,Public health provider : public health clinic,,-78.2948567267836,34.9787954525522,202105041931
396,820008,Sampson Regional Medical Center,Sampson Regional Medical Center,607 Beaman Street,Clinton,Sampson,North Carolina,28328,Approved,Hospital,,-78.3243321082,35.0084885552857,202105041931
435,430014,CommWell Health,CommWell Health of Newton Grove/Spivey's Corner,3331 Easy Street,Dunn,Sampson,North Carolina,28334,Approved,Public health provider : Federally Qualified Health Center,,-78.4506703605326,35.2434845270123,202105041931
625,82C002,Matthews Drug Store,Matthews Health Mart,408 Northeast Blvd,Clinton,Sampson,North Carolina,28328,Approved,Pharmacy : independent,,-78.3186929323764,35.0108464463644,202105041931
942,82C005,"Clinton Pharmacy, LLC",CLINTON DRUG COMPANY,307 Beaman Street,Clinton,Sampson,North Carolina,28328,Approved,Pharmacy : independent,,-78.3223845234498,35.0039707544596,202105041931
1221,82C004,Community Care Health Network DBA Matrix Medical Network,Smithfield Godwin Plant,1600 Martin Road,Godwin,Sampson,North Carolina,28344,Approved,Commercial vaccination service provider,,-78.6294340447924,35.1569995538502,202105041931
1225,82C003,Community Care Health Network DBA Matrix Medical Network,Smithfield Clinton Plant,424 East Railroad St,Clinton,Sampson,North Carolina,28328,Approved,Commercial vaccination service provider,,-78.3125410357459,34.9942984313962,202105041931
1227,820003,Clinton Medical Clinic,Clinton Medical Clinic,403 Fairview St,Clinton,Sampson,North Carolina,28328,Approved,Medical practice : family medicine,,-78.328587893441,35.0134182787353,202105041931
1231,82C006,"HEALTHSTAT, INC",Hogslat Healthstat Clinic,915 north US Hwy 421,Clinton,Sampson,North Carolina,28328,Approved,Medical practice : family medicine,,-78.3470433409848,35.0188608340788,202105041931
1319,820015,"Elizabeth D. Bryan, MD, PA","Elizabeth D. Bryan, MD, PA",227 Beaman Street,Clinton,Sampson,North Carolina,28328,Approved,Medical practice : family medicine,,-78.3212348763978,35.0012566770865,202105041931
1735,82C011,SimpleClinic PLLC,Clinton SimpleClinic,1515 Sunset Ave,Clinton,Sampson,North Carolina,28306,Approved,Medical practice : family medicine,,-78.36393702748,34.9926981195603,202105041931
1740,82C007,Logistics Health Incorporated,Episcopal Farmworkers Ministry,2989 East Stret,Dunn,Sampson,North Carolina,28334,Approved,Commercial vaccination service provider,,-78.647739491551,35.191105001164,202105041931
1858,82C009,Fresenius Medical Care,Clinton,1740 Southeast Blvd,Clinton,Sampson,North Carolina,28328,Approved,Medical practice : other specialty,,-78.3100738949187,35.002999045652,202105041931
1859,82C010,Fresenius Medical Care,Roseboro,100 E Pleasant St,Roseboro,Sampson,North Carolina,28382,Approved,Medical practice : other specialty,,-78.5075035173089,34.9524930775741,202105041931
1880,82C008,Logistics Health Incorporated,Expo Center Sampson County,414 Warsaw Rd,Clinton,Sampson,North Carolina,28328,Approved,Other,,-78.3128144840355,34.9981297845946,202105041931
1944,"",CommWell Health,CommWell Health of Salemburg,500 S. Fayetteville St.,Salemburg,Sampson,North Carolina,28385,Deactivated,Public health provider : Federally Qualified Health Center,,-78.5076079964602,35.0076848136976,202105041931
1946,"",CommWell Health,CommWell Health of Harrells,194 Tomahawk Highway,Harrells,Sampson,North Carolina,28444,Deactivated,Public health provider : Federally Qualified Health Center,,-78.1950503098479,34.7255386212222,202105041931
2176,"","Sessoms Medical Associates, PLLC",Sessoms Medical Associates PLLC-Clinton NC,500 Beaman St.,Clinton,Sampson,North Carolina,28328,New (Vaccine Coordinator In Progress),"",,-78.322796435876,35.0051541494504,202105041931
2709,,WM1,WAL-MART PHARMACY,1415 SUNSET AVENUE,CLINTON,Sampson,North Carolina,28328,,Pharmacy : chain,a2At0000001e3T9EAI,-78.3518436033148,34.9917567185354,202105041931
2735,,Walgreens,Walgreens,200 N BRAGG BLVD,SPRING LAKE,Sampson,North Carolina,28390,,Pharmacy : chain,a2At0000002WLZfEAO,-78.9734238593388,35.1692232610859,202105041931
2742,,Walgreens,Walgreens,218 W MARTIN LUTHER KING BLVD,ROSEBORO,Sampson,North Carolina,28382,,Pharmacy : chain,a2At0000002WoQzEAK,-78.5129466020131,34.9577293288396,202105041931
397,830001,Scotland County Health Department,Scotland County Health Department,1405 West Boulevard,Laurinburg,Scotland,North Carolina,28352,Approved,Public health provider : public health clinic,,-79.4911056197705,34.7593975094669,202105041931
398,830012,Scotland Health Care System,Scotland Health Care System,500 Lauchwood Dr,Laurinburg,Scotland,North Carolina,28352,Approved,Hospital,,-79.4706491615854,34.7538019416183,202105041931
456,830017,Robeson Health Care Corporation,Scotland Health Center,507 Lauchwood Drive,Laurinburg,Scotland,North Carolina,28352,Approved,Other,,-79.4709344858016,34.7514036613275,202105041931
484,83C001,North Carolina Division of Prisons,Scotland Correctional Institute,22385 McGirts Bridge Road,Laurinburg,Scotland,North Carolina,28352,Approved,Corrections/detention health services,,-79.3645105380961,34.8109807238699,202105041931
844,83C002,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",Laurinburg Fresenius,701 East Lauchwood Drive,Laurinburg,Scotland,North Carolina,29900,Approved,Other,,-79.4628768051845,34.7511403000583,202105041931
1130,830015,Scotland Physician Network,Wolonick Family Practice,106 McAlpine Lane,Laurinburg,Scotland,North Carolina,28352,Approved,Medical practice : family medicine,,-79.4758948323762,34.7496229472623,202105041931
1131,830004,Scotland Physician Network,Harris Family Practice,700 Progress Street,Laurinburg,Scotland,North Carolina,28352,Approved,Medical practice : family medicine,,-79.4626597344489,34.750340072518,202105041931
1132,830010,Scotland Physician Network,Wagram Family Practice,24420 Marlboro Street,Wagram,Scotland,North Carolina,28396,Approved,Medical practice : family medicine,,-79.3662926204817,34.885948354256,202105041931
1134,780025,Scotland Physician Network,Maxton Family Practice,1001 W Dr. Martin Luther King Drive,Maxton,Scotland,North Carolina,28364,Approved,Medical practice : family medicine,,-79.361543490761,34.7401311944168,202105041931
1187,83C003,"PICKLED HERRING INC, DBA MEDICAL VILLAGE PHARMACY",medical village pharmacy,517 lauchwood drive,Laurinburg,Scotland,North Carolina,28352,Approved,Pharmacy : independent,,-79.4691218372019,34.7508787715774,202105041931
1836,830008,"The Purcell Clinic, P.A.",The Purcell Clinic,418 S King Street,Laurinburg,Scotland,North Carolina,28352,Approved,Medical practice : pediatrics,,-79.4684544986451,34.7750465179227,202105041931
